Date,Open,High,Low,Close,Adj Close,Volume
2016-10-17,47.709999,48.110001,47.630001,47.669998,46.879925,304486
2016-10-18,47.540001,48.450001,47.279999,47.480000,46.693073,541379
2016-10-19,47.849998,47.900002,47.160000,47.759998,46.968433,456332
2016-10-20,47.900002,48.200001,47.610001,48.200001,47.401142,465099
2016-10-21,48.500000,48.500000,47.810001,48.150002,47.351974,396753
2016-10-24,48.320000,48.730000,48.160000,48.680000,47.873184,457994
2016-10-25,48.650002,49.580002,48.480000,48.520000,47.715836,565881
2016-10-26,48.529999,49.389999,48.150002,48.750000,47.942028,448990
2016-10-27,48.820000,48.919998,48.299999,48.520000,47.715836,415494
2016-10-28,48.509998,48.660000,48.020000,48.580002,47.774845,407922
2016-10-31,48.209999,48.599998,47.720001,47.980000,47.184788,580509
2016-11-01,48.080002,48.450001,46.650002,46.650002,45.876831,503516
2016-11-02,46.419998,46.580002,45.700001,46.009998,45.247437,656237
2016-11-03,46.209999,46.360001,45.599998,45.599998,44.844231,477156
2016-11-04,45.560001,46.200001,44.790001,46.080002,45.316280,502713
2016-11-07,46.500000,49.299999,46.400002,49.200001,48.384567,1228802
2016-11-08,49.980000,49.990002,48.790001,49.459999,48.640255,878249
2016-11-09,47.200001,49.450001,47.000000,49.450001,48.630424,921516
2016-11-10,49.549999,49.919998,48.630001,48.630001,47.824013,838587
2016-11-11,49.720001,49.759998,48.660000,49.759998,48.935284,904750
2016-11-14,49.990002,50.650002,49.099998,50.049999,49.220478,819954
2016-11-15,49.599998,50.099998,49.000000,49.959999,49.131969,554801
2016-11-16,50.000000,50.450001,49.220001,50.099998,49.269650,743717
2016-11-17,49.860001,50.349998,49.630001,50.099998,49.269650,494838
2016-11-18,50.000000,50.599998,49.700001,49.889999,49.063129,596881
2016-11-21,49.660000,50.500000,48.860001,50.450001,49.613850,432670
2016-11-22,50.750000,51.250000,50.500000,50.900002,50.056393,681819
2016-11-23,51.000000,51.099998,50.150002,50.950001,50.105564,420745
2016-11-24,50.900002,52.099998,50.750000,52.099998,51.236504,535487
2016-11-25,51.750000,52.000000,51.400002,51.599998,50.744785,302145
2016-11-28,51.000000,51.299999,50.299999,50.950001,50.105564,480232
2016-11-29,50.700001,51.849998,50.650002,51.849998,50.990643,429138
2016-11-30,51.349998,51.950001,51.349998,51.700001,50.843132,671153
2016-12-01,51.000000,51.500000,50.700001,51.400002,50.548103,503849
2016-12-02,51.400002,51.400002,50.799999,50.799999,49.958046,406651
2016-12-05,50.500000,52.099998,50.099998,51.650002,50.793961,668143
2016-12-06,51.500000,52.200001,51.200001,52.200001,51.334846,816283
2016-12-07,52.349998,52.750000,52.349998,52.700001,51.826561,577010
2016-12-08,52.349998,53.700001,52.349998,53.500000,52.613300,699799
2016-12-09,53.500000,54.049999,53.200001,53.750000,52.859158,560276
2016-12-12,54.000000,54.200001,53.250000,53.549999,52.662472,665603
2016-12-13,53.200001,54.250000,53.200001,54.250000,53.350868,567082
2016-12-14,54.250000,54.799999,54.250000,54.500000,53.596725,601175
2016-12-15,55.000000,55.950001,54.900002,55.900002,54.973522,877582
2016-12-16,56.400002,56.400002,55.750000,56.049999,55.121033,821049
2016-12-19,56.049999,56.299999,55.950001,56.299999,55.366890,387949
2016-12-20,56.099998,56.549999,55.849998,56.549999,55.612751,386413
2016-12-21,56.400002,56.599998,55.900002,55.900002,54.973522,352368
2016-12-22,55.549999,56.250000,54.900002,55.250000,54.334293,380739
2016-12-23,55.250000,56.099998,55.150002,55.900002,54.973522,296656
2016-12-27,55.599998,56.599998,55.299999,55.750000,54.826008,295291
2016-12-28,56.049999,56.200001,55.599998,55.849998,54.924347,247358
2016-12-29,55.500000,55.950001,55.200001,55.250000,54.334293,215903
2016-12-30,55.200001,55.849998,55.099998,55.299999,54.383465,226876
2017-01-02,55.150002,56.200001,55.150002,56.200001,55.268551,240887
2017-01-03,56.250000,57.000000,56.150002,56.150002,55.219379,499350
2017-01-04,56.500000,56.900002,56.099998,56.700001,55.760265,317854
2017-01-05,56.599998,56.750000,56.150002,56.150002,55.219379,266985
2017-01-06,56.549999,56.549999,55.650002,55.849998,54.924347,262188
2017-01-09,56.000000,56.150002,54.599998,55.049999,54.137608,556932
2017-01-10,55.500000,55.900002,55.250000,55.750000,54.826008,386364
2017-01-11,55.849998,56.400002,55.299999,56.299999,55.366890,384953
2017-01-12,55.950001,57.200001,54.400002,55.049999,54.137608,1018386
2017-01-13,55.799999,57.200001,55.500000,56.549999,55.612751,628644
2017-01-16,55.799999,56.700001,55.599998,56.599998,55.661922,412820
2017-01-17,56.400002,56.700001,55.700001,55.900002,54.973522,458066
2017-01-18,55.799999,56.400002,55.549999,56.200001,55.268551,280025
2017-01-19,56.150002,56.900002,55.849998,56.799999,55.858608,394224
2017-01-20,57.000000,57.000000,56.200001,56.349998,55.416061,347276
2017-01-23,56.400002,57.299999,55.750000,56.900002,55.956951,491445
